"assettreat","asset_comp","isrstock","palstock","tradestock6all","age","married","faminc","religion","female","BA_or_higher","right_2013","right_2015","left_2013","left_2015","p_index_2013","p_index_2015","p_index_2016","e_index_2013","e_index_2015"
1,0,0,1,0,42,1,12000,"jewish",1,1,1,1,0,0,-1.67689740657806,-1.07856348156929,NA,0.810425207018852,6.55095100402832
1,0,0,1,1,69,0,12000,"jewish",1,0,0,0,0,0,-6.34089350700378,-3.41988414525986,2.62229055166245,-2.78066396713257,6.6233766078949
1,1,1,0,0,39,1,16000,"jewish",0,1,0,1,0,0,-10.899418592453,-10.1081895828247,-11.7611801624298,-4.87623155117035,-6.12691879272461
1,1,0,1,0,42,1,16000,"jewish",1,1,1,1,0,0,0.944821536540985,-0.907684043049812,-2.22751900553703,-0.50922192633152,-1.69917061924934
0,0,0,0,1,35,1,12000,"jewish",1,1,0,0,1,1,12.730450630188,NA,14.1161584854126,-3.87376666069031,-7.67638921737671
1,0,1,0,0,33,1,12000,"jewish",1,1,0,1,0,0,-6.25885248184204,-5.42554795742035,NA,7.76768147945404,NA
1,0,1,0,1,62,1,24000,"jewish",0,0,1,1,0,0,-6.25885248184204,-5.42554795742035,-9.5317006111145,-6.25475168228149,-2.23972484469414
1,1,1,0,0,31,0,8000,"jewish",1,0,0,0,0,0,-1.75893858075142,-3.41988414525986,-7.03211069107056,-1.55165404081345,-1.85038864612579
1,1,1,0,1,57,1,12000,"jewish",1,1,0,1,0,0,8.14849555492401,8.65176558494568,9.65636193752289,-2.99522876739502,-2.93983906507492
1,1,0,1,1,44,1,16000,"jewish",0,1,0,0,0,0,5.82821249961853,3.62182378768921,1.96216762065887,-1.20648518204689,-4.64863538742065
1,1,0,0,1,51,0,16000,"jewish",0,1,1,1,0,0,-3.03426206111908,-5.06660342216492,-4.48646545410156,-12.5743985176086,-7.30350315570831
1,1,0,0,1,51,1,16000,"jewish",0,1,0,0,0,0,2.84644603729248,6.14261627197266,NA,5.28167426586151,6.59416198730469
1,1,1,0,0,72,1,16000,"jewish",0,1,0,0,1,1,-1.45750284194946,1.26580819487572,0.00196043401956558,0.451654195785522,NA
1,1,1,0,0,67,1,16000,"jewish",0,1,0,0,1,1,7.84705996513367,8.30446481704712,6.96134686470032,-0.00384001061320305,-1.0042155534029
1,0,0,1,1,48,1,16000,"jewish",1,1,1,0,0,1,-4.07922178506851,-5.59337615966797,2.54676759243011,-5.56279182434082,-6.44456565380096
1,0,1,0,0,51,1,8000,"jewish",1,0,0,0,0,0,-10.899418592453,-7.7668684720993,NA,0.47723650932312,NA
