Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
India,2017,All ages,Both,Chronic respiratory diseases,Metabolic risks,"Deaths per 100,000",2.1155533,0.897360596,4.200990578
India,2017,All ages,Both,Chronic respiratory diseases,Environmental/occupational risks,Deaths,557980.6198,437844.8865,664524.4319
India,2017,All ages,Both,Chronic respiratory diseases,Environmental/occupational risks,Percent of total deaths,0.056307638,,
India,2017,All ages,Both,Chronic respiratory diseases,Environmental/occupational risks,"Deaths per 100,000",40.41696665,31.71501222,48.13439903
India,2017,All ages,Both,Chronic respiratory diseases,Behavioral risks,Deaths,360582.6259,304931.6702,417315.1616
India,2017,All ages,Both,Chronic respiratory diseases,Behavioral risks,Percent of total deaths,0.036387565,,
India,2017,All ages,Both,Chronic respiratory diseases,Behavioral risks,"Deaths per 100,000",26.11857016,22.08752904,30.22795483
India,2017,All ages,Both,Cardiovascular diseases,Metabolic risks,Deaths,1926700.964,1764690.547,2067445.621
India,2017,All ages,Both,Cardiovascular diseases,Metabolic risks,Percent of total deaths,0.194429656,,
India,2017,All ages,Both,Cardiovascular diseases,Metabolic risks,"Deaths per 100,000",139.5593428,127.8242227,149.7540914
India,2017,All ages,Both,Cardiovascular diseases,Environmental/occupational risks,Deaths,632309.6281,560458.5639,701171.4761
India,2017,All ages,Both,Cardiovascular diseases,Environmental/occupational risks,Percent of total deaths,0.06380842,,
India,2017,All ages,Both,Cardiovascular diseases,Environmental/occupational risks,"Deaths per 100,000",45.80094047,40.59645493,50.78890406
India,2017,All ages,Both,Cardiovascular diseases,Behavioral risks,Deaths,1663332.636,1532542.107,1803791.799
India,2017,All ages,Both,Cardiovascular diseases,Behavioral risks,Percent of total deaths,0.167852302,,
India,2017,All ages,Both,Cardiovascular diseases,Behavioral risks,"Deaths per 100,000",120.4824277,111.0087,130.6564967
India,2017,All ages,Both,Neoplasms,Metabolic risks,Deaths,44156.34546,20909.8609,72612.7542
India,2017,All ages,Both,Neoplasms,Metabolic risks,Percent of total deaths,0.00445596,,
India,2017,All ages,Both,Neoplasms,Metabolic risks,"Deaths per 100,000",3.19843643,1.5145923,5.259658061
India,2017,All ages,Both,Neoplasms,Environmental/occupational risks,Deaths,42974.38545,36562.59823,49056.19042
India,2017,All ages,Both,Neoplasms,Environmental/occupational risks,Percent of total deaths,0.004336685,,
India,2017,All ages,Both,Neoplasms,Environmental/occupational risks,"Deaths per 100,000",3.112821919,2.648388243,3.553353543
India,2017,All ages,Both,Neoplasms,Behavioral risks,Deaths,307535.909,287882.1615,330413.9893
India,2017,All ages,Both,Neoplasms,Behavioral risks,Percent of total deaths,0.031034448,,
India,2017,All ages,Both,Neoplasms,Behavioral risks,"Deaths per 100,000",22.2761654,20.85255887,23.93332441
India,2017,All ages,Both,Nutritional deficiencies,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Nutritional deficiencies,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Nutritional deficiencies,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Nutritional deficiencies,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Nutritional deficiencies,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Nutritional deficiencies,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Nutritional deficiencies,Behavioral risks,Deaths,24541.78651,20763.63776,29446.64578
India,2017,All ages,Both,Nutritional deficiencies,Behavioral risks,Percent of total deaths,0.002476591,,
India,2017,All ages,Both,Nutritional deficiencies,Behavioral risks,"Deaths per 100,000",1.777668492,1.504000722,2.132948813
India,2017,All ages,Both,Maternal and neonatal disorders,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Maternal and neonatal disorders,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Maternal and neonatal disorders,Metabolic risks,"Deaths per 100,000",0,0,0
