Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
India,2017,All ages,Both,Mental disorders,Environmental/occupational risks,"YLDs per 100,000",110,45.46704597,196.6546092
India,2017,All ages,Both,Mental disorders,Behavioral risks,YLDs,1359039,929580.6455,1889751.805
India,2017,All ages,Both,Mental disorders,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Mental disorders,Behavioral risks,"YLDs per 100,000",98,67.33357507,136.8829543
India,2017,All ages,Both,Neurological disorders,Metabolic risks,YLDs,69595,24902.42617,134063.095
India,2017,All ages,Both,Neurological disorders,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Neurological disorders,Metabolic risks,"YLDs per 100,000",5,1.803791193,9.710773899
India,2017,All ages,Both,Neurological disorders,Environmental/occupational risks,YLDs,0,0,0
India,2017,All ages,Both,Neurological disorders,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Neurological disorders,Environmental/occupational risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Neurological disorders,Behavioral risks,YLDs,213496,125944.9713,320954.7181
India,2017,All ages,Both,Neurological disorders,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Neurological disorders,Behavioral risks,"YLDs per 100,000",15,9.122742844,23.24814819
India,2017,All ages,Both,Digestive diseases,Metabolic risks,YLDs,589,306.0508623,1008.165258
India,2017,All ages,Both,Digestive diseases,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Digestive diseases,Metabolic risks,"YLDs per 100,000",0,0.022168597,0.073025801
India,2017,All ages,Both,Digestive diseases,Environmental/occupational risks,YLDs,0,0,0
India,2017,All ages,Both,Digestive diseases,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Digestive diseases,Environmental/occupational risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Digestive diseases,Behavioral risks,YLDs,70108,47426.37876,96776.02791
India,2017,All ages,Both,Digestive diseases,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Digestive diseases,Behavioral risks,"YLDs per 100,000",5,3.435299186,7.009909222
India,2017,All ages,Both,Chronic respiratory diseases,Metabolic risks,YLDs,140751,66746.22973,244604.981
India,2017,All ages,Both,Chronic respiratory diseases,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Chronic respiratory diseases,Metabolic risks,"YLDs per 100,000",10,4.834720142,17.71780418
India,2017,All ages,Both,Chronic respiratory diseases,Environmental/occupational risks,YLDs,3669962,2789073.065,4421373.865
India,2017,All ages,Both,Chronic respiratory diseases,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Chronic respiratory diseases,Environmental/occupational risks,"YLDs per 100,000",266,202.0247103,320.2593669
India,2017,All ages,Both,Chronic respiratory diseases,Behavioral risks,YLDs,2183452,1671013.912,2671437.773
India,2017,All ages,Both,Chronic respiratory diseases,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Chronic respiratory diseases,Behavioral risks,"YLDs per 100,000",158,121.038816,193.5038737
India,2017,All ages,Both,Cardiovascular diseases,Metabolic risks,YLDs,2249255,1640255.038,2939761.235
India,2017,All ages,Both,Cardiovascular diseases,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Cardiovascular diseases,Metabolic risks,"YLDs per 100,000",163,118.8108167,212.9397107
India,2017,All ages,Both,Cardiovascular diseases,Environmental/occupational risks,YLDs,421796,287974.5705,564187.7136
India,2017,All ages,Both,Cardiovascular diseases,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Cardiovascular diseases,Environmental/occupational risks,"YLDs per 100,000",31,20.85925245,40.86657349
India,2017,All ages,Both,Cardiovascular diseases,Behavioral risks,YLDs,1637526,1179397.889,2121509.693
India,2017,All ages,Both,Cardiovascular diseases,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Cardiovascular diseases,Behavioral risks,"YLDs per 100,000",119,85.4289261,153.6701876
India,2017,All ages,Both,Neoplasms,Metabolic risks,YLDs,21261,9424.123608,37776.55033
India,2017,All ages,Both,Neoplasms,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Neoplasms,Metabolic risks,"YLDs per 100,000",2,0.682630321,2.736320081
India,2017,All ages,Both,Neoplasms,Environmental/occupational risks,YLDs,11166,7884.870496,14700.8629
India,2017,All ages,Both,Neoplasms,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Neoplasms,Environmental/occupational risks,"YLDs per 100,000",1,0.571135514,1.064847531
India,2017,All ages,Both,Neoplasms,Behavioral risks,YLDs,154291,111485.4188,198504.0235
India,2017,All ages,Both,Neoplasms,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Neoplasms,Behavioral risks,"YLDs per 100,000",11,8.075374475,14.37851103
