Appendix Table S14. Mean age of death correlation with SDI by Cause-Sex,,,,,,,,
cause_name,level,sex,r2 Observed,slope Observed,p Observed,r2 Observed vs Expected,slope Observed vs Expected,p Observed vs Expected
Tetanus,3,Female,0.63,118.23,<.0001,0.32,58.37,<.0001
Tetanus,3,Both,0.63,107.89,<.0001,0.27,47.32,<.0001
Measles,3,Female,0.13,31.3,<.0001,0.12,29.38,<.0001
Measles,3,Both,0.14,29.29,<.0001,0.12,27.44,<.0001
Measles,3,Male,0.13,28.78,<.0001,0.12,27.01,<.0001
Varicella and herpes zoster,3,Male,0.56,94.3,<.0001,0.0021,-2.68,0.48
Varicella and herpes zoster,3,Female,0.44,85.36,<.0001,0.067,-21.41,<.0001
Varicella and herpes zoster,3,Both,0.52,91.17,<.0001,0.033,-12.57,0.0048
Acute hepatitis,3,Female,0.6,67.72,<.0001,0.055,13.41,0.00027
Acute hepatitis,3,Male,0.57,53.4,<.0001,<.0001,0.01,1
Acute hepatitis,3,Both,0.59,59.16,<.0001,0.0075,4.29,0.18
Other unspecified infectious diseases,3,Female,0.65,96.19,<.0001,0.044,13.93,0.0012
Other unspecified infectious diseases,3,Both,0.63,91.85,<.0001,0.045,13.74,0.001
Other unspecified infectious diseases,3,Male,0.6,88.5,<.0001,0.055,14.69,0.00028
Maternal and neonatal disorders,2,Female,0.18,-12.05,<.0001,0.47,-26.47,<.0001
Maternal and neonatal disorders,2,Both,0.14,-6.86,<.0001,0.43,-15.74,<.0001
Maternal and neonatal disorders,2,Male,0.00081,0.01,0.66,0.00044,0,0.75
Maternal disorders,3,Both,0.42,7.21,<.0001,<.0001,0,0.99
Maternal disorders,3,Female,0.42,7.21,<.0001,0.00034,0.17,0.78
Neonatal disorders,3,Male,0.00081,0.01,0.66,0.00044,0,0.75
Neonatal disorders,3,Female,0.038,-0.04,0.0026,0.062,-0.05,0.0001
Neonatal disorders,3,Both,0.0048,-0.01,0.29,0.015,-0.02,0.057
Nutritional deficiencies,2,Male,0.72,119.25,<.0001,0.13,23.12,<.0001
Nutritional deficiencies,2,Female,0.73,126.42,<.0001,0.098,23.83,<.0001
Nutritional deficiencies,2,Both,0.74,124.14,<.0001,0.11,23.62,<.0001
Protein-energy malnutrition,3,Male,0.71,120.05,<.0001,0.14,23.93,<.0001
Protein-energy malnutrition,3,Both,0.72,125.67,<.0001,0.1,23.52,<.0001
Protein-energy malnutrition,3,Female,0.72,128.9,<.0001,0.085,23.37,<.0001
Other nutritional deficiencies,3,Female,0.68,82,<.0001,0.088,16.44,<.0001
Other nutritional deficiencies,3,Male,0.43,72.71,<.0001,0.0044,5.45,0.31
Other nutritional deficiencies,3,Both,0.65,78.92,<.0001,0.052,12.87,0.00038
Non-communicable diseases,1,Female,0.77,47.75,<.0001,0.4,13.24,<.0001
Non-communicable diseases,1,Male,0.71,38.72,<.0001,0.42,10.65,<.0001
Non-communicable diseases,1,Both,0.74,43,<.0001,0.41,11.54,<.0001
Neoplasms,2,Both,0.75,40.45,<.0001,0.59,17.58,<.0001
Neoplasms,2,Female,0.77,46.94,<.0001,0.59,19.75,<.0001
Neoplasms,2,Male,0.68,32.75,<.0001,0.5,13.77,<.0001
Lip and oral cavity cancer,3,Male,0.44,19.5,<.0001,0.12,5.54,<.0001
Lip and oral cavity cancer,3,Female,0.66,36.43,<.0001,0.33,13.17,<.0001
Lip and oral cavity cancer,3,Both,0.55,25.52,<.0001,0.17,7.89,<.0001
Nasopharynx cancer,3,Male,0.62,29.51,<.0001,0.38,12.9,<.0001
Nasopharynx cancer,3,Female,0.72,47,<.0001,0.46,20.26,<.0001
Nasopharynx cancer,3,Both,0.68,36.09,<.0001,0.42,15.83,<.0001
Other pharynx cancer,3,Both,0.51,19.52,<.0001,0.17,7.08,<.0001
Other pharynx cancer,3,Female,0.63,32.24,<.0001,0.3,12.9,<.0001
Other pharynx cancer,3,Male,0.42,15.45,<.0001,0.12,5.24,<.0001
Esophageal cancer,3,Both,0.49,18.13,<.0001,0.13,5.83,<.0001
Esophageal cancer,3,Male,0.41,15.14,<.0001,0.12,5.13,<.0001
Esophageal cancer,3,Female,0.64,27.95,<.0001,0.41,11.82,<.0001
Stomach cancer,3,Both,0.62,29.1,<.0001,0.46,14.2,<.0001
Stomach cancer,3,Male,0.5,21.84,<.0001,0.39,10.36,<.0001
Stomach cancer,3,Female,0.69,39.35,<.0001,0.47,19.02,<.0001
