"Apppendix Table S13. Global, top 100 Causes by Age Standardised YLLs per 100,000 - 1990, 2019, 2021, 2023, and the percent change between years",,,,,,,,
Cause Name,1990,2019,1990-2019,2021,2019-2021,2023,2021-2023,1990-2023
Brain and central nervous system cancer,126.55 (106.39-143.23),107.86 (94.52-130.73),-14.77%,110.08 (95.63-133.82),2.05%,106.47 (93.22-128.13),-3.28%,-15.87%
Idiopathic epilepsy,121.82 (84.78-159.0),98.47 (76.71-128.65),-19.17%,103.48 (79.11-139.36),5.08%,105.34 (79.44-139.41),1.81%,-13.53%
Other malignant neoplasms,120.26 (106.03-138.21),78.46 (68.06-92.03),-34.76%,79.98 (68.39-93.98),1.94%,76.63 (65.69-87.91),-4.19%,-36.28%
Sexually transmitted infections excluding HIV,119.83 (51.08-232.43),91.93 (37.27-172.09),-23.28%,104.37 (41.41-196.46),13.53%,112.55 (43.05-214.8),7.84%,-6.07%
Conflict and terrorism,117.44 (109.96-127.03),86.98 (79.3-95.75),-25.94%,82.12 (73.29-93.9),-5.6%,124.61 (99.47-162.03),51.75%,6.1%
Sudden infant death syndrome,113.08 (74.0-174.05),36.91 (23.69-57.62),-67.36%,38.79 (24.74-58.65),5.1%,37.5 (23.1-58.82),-3.32%,-66.84%
Animal contact,113.01 (67.5-178.52),65.13 (40.41-94.37),-42.36%,68.34 (41.73-103.15),4.92%,64.05 (38.05-94.81),-6.27%,-43.32%
Foreign body,112.86 (76.95-142.59),72.84 (53.23-95.35),-35.47%,75.11 (54.0-99.11),3.12%,76.98 (54.01-100.65),2.5%,-31.79%
Non-Hodgkin lymphoma,109.87 (98.0-122.41),93.73 (83.01-107.3),-14.69%,95.57 (81.88-109.57),1.96%,93.48 (79.12-109.62),-2.18%,-14.92%
Prostate cancer,106.32 (95.54-116.06),86.58 (76.49-96.96),-18.57%,88.31 (77.52-99.58),2.0%,87.75 (76.43-98.98),-0.64%,-17.47%
Hemoglobinopathies and hemolytic anemias,104.41 (76.68-153.16),86.38 (54.14-152.21),-17.26%,85.73 (50.79-152.6),-0.75%,84.76 (49.83-153.82),-1.14%,-18.82%
Alcohol use disorders,100.64 (89.82-113.79),71.72 (63.33-82.79),-28.74%,76.74 (67.24-89.87),7.0%,73.58 (65.07-86.07),-4.11%,-26.89%
Other cardiovascular and circulatory diseases,96.06 (76.19-124.72),79.27 (63.56-98.14),-17.48%,82.56 (65.76-101.31),4.16%,85.26 (65.96-105.5),3.27%,-11.24%
Urinary diseases and male infertility,95.75 (84.85-109.77),98.35 (89.35-107.4),2.72%,96.15 (87.59-104.57),-2.24%,98.16 (89.71-108.15),2.09%,2.51%
Leishmaniasis,94.61 (43.3-178.86),5.14 (2.26-9.2),-94.56%,4.98 (2.2-8.95),-3.16%,4.62 (1.98-8.45),-7.16%,-95.11%
Adverse effects of medical treatment,91.65 (72.55-121.96),51.98 (40.21-69.76),-43.29%,50.01 (37.8-68.02),-3.79%,48.97 (37.11-65.95),-2.07%,-46.56%
Encephalitis,90.49 (56.48-135.78),48.61 (33.87-72.82),-46.29%,53.38 (36.14-83.31),9.82%,50.05 (34.11-79.1),-6.25%,-44.7%
Invasive Non-typhoidal Salmonella (iNTS),83.39 (65.55-109.42),80.41 (62.89-105.07),-3.57%,83.65 (63.38-111.68),4.03%,85.94 (64.32-115.55),2.74%,3.06%
Poisonings,81.36 (62.8-109.25),44.72 (32.69-61.97),-45.04%,44.88 (32.13-64.37),0.36%,42.54 (30.91-59.83),-5.21%,-47.71%
Other transport injuries,75.42 (48.1-105.25),48.38 (34.69-66.93),-35.85%,50.26 (35.31-68.49),3.89%,48.74 (32.68-68.15),-3.02%,-35.37%
Ovarian cancer,72.22 (64.77-80.24),64.26 (56.33-74.63),-11.02%,67.39 (58.13-78.39),4.87%,70.06 (59.03-83.09),3.97%,-2.99%
"Endocrine, metabolic, blood, and immune disorders",68.68 (54.98-84.9),68.95 (57.6-80.66),0.39%,72.47 (60.25-86.3),5.1%,75.56 (62.23-92.13),4.27%,10.02%
Other unspecified infectious diseases,68.51 (35.93-119.35),79.36 (40.04-145.11),15.85%,89.88 (44.81-156.42),13.25%,89.12 (44.17-156.56),-0.85%,30.08%
Lip and oral cavity cancer,68.01 (60.09-79.43),64.8 (56.78-75.52),-4.71%,71.27 (62.1-82.87),9.98%,69.53 (60.34-82.41),-2.44%,2.24%
Bladder cancer,67.14 (62.3-72.24),46.89 (42.8-51.38),-30.15%,47.35 (43.28-51.79),0.97%,47.56 (43.33-52.98),0.44%,-29.16%
Electrocution,65.61 (34.9-100.11),33.66 (16.86-46.86),-48.69%,32.69 (15.52-45.43),-2.9%,32.57 (16.7-45.43),-0.35%,-50.35%
Parkinson's disease,64.61 (59.3-70.7),67.01 (61.41-73.21),3.72%,69.71 (63.96-76.01),4.03%,70.67 (63.35-77.31),1.38%,9.39%
Drug use disorders,63.35 (50.72-78.27),75.7 (66.32-85.86),19.51%,91.31 (79.34-104.47),20.62%,94.75 (82.14-108.4),3.76%,49.57%
Gallbladder and biliary tract cancer,59.18 (53.85-66.77),42.04 (37.03-49.58),-28.96%,42.93 (37.63-51.05),2.11%,43.13 (37.25-51.61),0.48%,-27.12%
Exposure to forces of nature,58.57 (53.34-64.36),7.35 (6.69-8.08),-87.45%,7.3 (6.64-8.02),-0.7%,56.77 (51.69-62.41),677.95%,-3.06%
Other nutritional deficiencies,57.46 (38.03-88.5),17.13 (12.49-23.49),-70.2%,17.47 (12.38-24.44),2.01%,15.95 (10.76-22.24),-8.71%,-72.25%
Diphtheria,57.27 (43.49-72.11),6.9 (5.25-8.57),-87.96%,5.7 (4.18-7.52),-17.35%,4.9 (3.59-6.6),-13.97%,-91.44%
Pancreatitis,55.96 (46.5-69.72),45.15 (38.46-53.51),-19.32%,42.99 (36.44-51.12),-4.79%,43.6 (36.89-53.53),1.43%,-22.08%
Larynx cancer,54.09 (47.48-61.85),35.55 (30.37-42.98),-34.28%,38.0 (32.22-46.89),6.89%,37.3 (31.39-45.01),-1.84%,-31.04%
Atrial fibrillation and flutter,53.3 (47.34-57.1),53.22 (46.81-58.31),-0.15%,55.13 (48.5-60.61),3.59%,55.53 (48.21-61.52),0.73%,4.19%
Other digestive diseases,52.67 (38.85-70.9),34.11 (28.87-40.32),-35.24%,32.84 (27.89-39.04),-3.7%,33.37 (27.78-40.74),1.6%,-36.64%
Kidney cancer,52.65 (48.04-57.23),45.24 (40.02-50.33),-14.08%,44.67 (39.39-49.63),-1.27%,43.7 (38.39-48.51),-2.16%,-17.0%
Other chronic respiratory diseases,50.49 (34.65-70.84),35.63 (25.89-49.3),-29.42%,35.03 (23.87-51.13),-1.69%,38.67 (26.47-57.36),10.37%,-23.42%
Nasopharynx cancer,49.72 (41.56-56.85),26.26 (22.73-30.65),-47.18%,27.77 (23.61-32.48),5.74%,28.04 (23.1-33.23),1.0%,-43.59%
Aortic aneurysm,49.28 (45.48-54.14),36.91 (33.22-41.32),-25.1%,37.17 (33.19-42.19),0.69%,37.84 (33.43-42.54),1.82%,-23.21%
Upper respiratory infections,49.2 (9.86-113.96),26.04 (3.49-75.71),-47.06%,26.51 (3.75-77.11),1.78%,25.9 (3.89-76.55),-2.27%,-47.35%
Environmental heat and cold exposure,42.74 (28.58-58.99),15.46 (10.43-21.25),-63.82%,14.02 (8.97-20.15),-9.3%,30.61 (25.61-36.1),118.28%,-28.38%
Non-rheumatic valvular heart disease,40.3 (35.75-44.68),35.23 (30.06-40.58),-12.58%,34.29 (29.18-39.87),-2.66%,34.65 (29.41-40.33),1.04%,-14.02%
Total burden related to Non-alcoholic fatty liver disease (NAFLD),38.1 (29.28-48.8),38.28 (30.35-48.62),0.49%,38.57 (30.13-48.92),0.75%,38.77 (30.59-48.89),0.51%,1.76%
Other neoplasms,37.49 (31.5-44.2),33.93 (28.07-40.34),-9.49%,34.19 (28.19-41.78),0.78%,34.27 (28.38-42.06),0.23%,-8.58%
Gallbladder and biliary diseases,37.42 (29.59-46.53),29.97 (25.11-36.13),-19.91%,29.77 (24.81-36.38),-0.67%,30.26 (25.18-35.85),1.64%,-19.15%
Uterine cancer,37.12 (30.81-42.34),27.71 (24.2-32.52),-25.34%,28.27 (24.36-32.93),2.02%,28.84 (24.33-33.93),1.99%,-22.31%
Rabies,37.08 (16.95-65.86),13.61 (5.41-22.24),-63.29%,12.85 (5.15-23.81),-5.56%,11.29 (4.41-20.78),-12.15%,-69.55%
Malignant neoplasm of bone and articular cartilage,35.52 (27.93-46.97),34.68 (27.48-46.23),-2.36%,36.44 (28.17-47.2),5.07%,35.31 (26.25-46.54),-3.1%,-0.58%
Intestinal nematode infections,34.07 (24.85-45.53),7.07 (5.55-8.77),-79.26%,6.68 (5.15-8.32),-5.51%,6.2 (4.67-7.74),-7.18%,-81.81%
Other pharynx cancer,31.41 (26.8-37.85),32.6 (26.3-40.4),3.8%,36.43 (28.65-44.66),11.73%,35.77 (28.79-44.67),-1.8%,13.89%
