"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
      Western Europe,Male,"247,116
(228,140 - 257,052)","239,216
(221,185 - 248,713)","156,314
(141,771 - 163,723)","35,213
(30,831 - 38,021)","677,860
(621,928 - 707,510)","114.5
(105.7 - 119.1)","110.5
(102.1 - 114.8)","71.9
(65.2 - 75.3)","16.1
(14.1 - 17.4)","78.2
(71.8 - 81.6)",,
      Western Europe,Female,"227,581
(186,597 - 249,824)","203,543
(168,509 - 222,682)","162,859
(130,778 - 180,058)","36,252
(27,967 - 40,877)","630,237
(513,852 - 693,442)","101.6
(83.3 - 111.5)","90.6
(75.0 - 99.1)","72.2
(57.9 - 79.8)","16.0
(12.3 - 18.0)","70.1
(57.1 - 77.1)",,
      Western Europe,Both Sex,"474,697
(415,134 - 506,200)","442,760
(390,034 - 471,106)","319,174
(272,510 - 343,762)","71,466
(58,895 - 78,654)","1,308,098
(1,136,574 - 1,399,723)","107.9
(94.4 - 115.1)","100.3
(88.4 - 106.8)","72.0
(61.5 - 77.6)","16.1
(13.2 - 17.7)","74.1
(64.4 - 79.2)",,
         Andorra,Male,"53
(46 - 60)","30
(26 - 35)","34
(29 - 41)","17
(14 - 21)","135
(116 - 158)","125.0
(110.0 - 143.4)","70.2
(60.5 - 82.5)","77.6
(64.9 - 91.5)","37.0
(30.2 - 44.9)","77.4
(66.5 - 90.2)",,
         Andorra,Female,"42
(33 - 50)","22
(17 - 27)","31
(24 - 38)","14
(11 - 19)","110
(86 - 134)","104.4
(83.5 - 125.4)","54.2
(41.8 - 66.2)","74.7
(57.9 - 90.9)","34.1
(25.7 - 44.2)","66.9
(51.4 - 80.7)",,
         Andorra,Both Sex,"95
(82 - 110)","52
(44 - 62)","66
(54 - 77)","32
(25 - 39)","246
(206 - 290)","115.0
(99.8 - 133.7)","62.4
(53.1 - 73.8)","76.2
(62.4 - 89.9)","35.6
(28.1 - 43.3)","72.3
(61.4 - 84.2)",,
         Austria,Male,"3,749
(3,439 - 3,903)","4,847
(4,502 - 5,041)","2,371
(2,165 - 2,499)","445
(402 - 481)","11,414
(10,508 - 11,925)","85.5
(78.4 - 89.0)","110.0
(102.1 - 114.4)","53.4
(48.8 - 56.3)","10.0
(9.0 - 10.8)","64.7
(59.7 - 67.4)",,
         Austria,Female,"3,453
(2,918 - 3,751)","4,179
(3,548 - 4,552)","2,461
(2,037 - 2,712)","437
(359 - 488)","10,531
(8,863 - 11,504)","76.4
(64.5 - 83.0)","92.0
(78.1 - 100.2)","53.8
(44.6 - 59.3)","9.5
(7.8 - 10.6)","57.9
(48.8 - 63.2)",,
         Austria,Both Sex,"7,202
(6,343 - 7,649)","9,027
(8,071 - 9,565)","4,832
(4,206 - 5,190)","882
(761 - 962)","21,945
(19,384 - 23,368)","80.9
(71.2 - 85.9)","100.9
(90.2 - 106.9)","53.7
(46.7 - 57.6)","9.7
(8.4 - 10.6)","61.3
(54.1 - 65.3)",,
         Belgium,Male,"11,003
(10,180 - 11,463)","4,936
(4,511 - 5,189)","2,695
(2,395 - 2,862)","1,508
(1,324 - 1,616)","20,144
(18,411 - 21,131)","194.6
(180.1 - 202.8)","87.0
(79.5 - 91.4)","47.3
(42.0 - 50.2)","26.3
(23.1 - 28.2)","88.8
(81.5 - 93.1)",,
         Belgium,Female,"11,652
(9,726 - 12,721)","5,128
(4,197 - 5,673)","3,168
(2,483 - 3,551)","1,790
(1,390 - 2,028)","21,739
(17,797 - 23,975)","200.1
(167.0 - 218.5)","87.9
(71.9 - 97.2)","54.0
(42.3 - 60.5)","30.4
(23.6 - 34.5)","93.1
(76.3 - 102.8)",,
         Belgium,Both Sex,"22,656
(19,928 - 24,185)","10,065
(8,721 - 10,832)","5,863
(4,914 - 6,390)","3,299
(2,716 - 3,658)","41,884
(36,281 - 45,066)","197.4
(173.7 - 210.8)","87.4
(75.8 - 94.1)","50.7
(42.5 - 55.2)","28.4
(23.4 - 31.5)","91.0
(78.9 - 98.2)",,
         Cyprus,Male,"339
(308 - 371)","705
(646 - 773)","439
(389 - 501)","71
(61 - 84)","1,556
(1,405 - 1,731)","51.7
(46.9 - 56.6)","105.7
(96.8 - 115.9)","65.0
(57.5 - 74.2)","10.6
(9.1 - 12.5)","58.3
(53.9 - 62.8)",,
         Cyprus,Female,"256
(222 - 295)","491
(427 - 556)","385
(323 - 458)","58
(47 - 70)","1,192
(1,020 - 1,381)","38.2
(33.1 - 43.9)","71.9
(62.5 - 81.5)","55.4
(46.5 - 65.9)","8.5
(6.9 - 10.2)","43.5
(37.9 - 49.4)",,
         Cyprus,Both Sex,"595
(540 - 663)","1,197
(1,090 - 1,324)","825
(724 - 942)","130
(112 - 152)","2,748
(2,468 - 3,083)","44.9
(40.7 - 50.0)","88.6
(80.7 - 98.1)","60.2
(52.8 - 68.7)","9.5
(8.2 - 11.1)","50.8
(46.4 - 55.9)",,
         Denmark,Male,"704
(647 - 753)","231
(212 - 244)","853
(778 - 912)","99
(87 - 108)","1,888
(1,726 - 2,018)","24.3
(22.3 - 26.0)","7.9
(7.3 - 8.4)","29.2
(26.6 - 31.2)","3.4
(3.0 - 3.7)","16.2
(14.8 - 17.2)",,
         Denmark,Female,"510
(432 - 562)","178
(152 - 193)","678
(561 - 747)","78
(66 - 88)","1,445
(1,211 - 1,591)","17.4
(14.8 - 19.2)","6.1
(5.2 - 6.6)","22.9
(19.0 - 25.3)","2.6
(2.2 - 3.0)","12.3
(10.1 - 13.4)",,
         Denmark,Both Sex,"1,215
(1,087 - 1,308)","410
(365 - 436)","1,531
(1,342 - 1,651)","177
(154 - 195)","3,334
(2,949 - 3,591)","20.8
(18.6 - 22.4)","7.0
(6.2 - 7.4)","26.0
(22.8 - 28.1)","3.0
(2.6 - 3.3)","14.2
(12.4 - 15.2)",,
         Finland,Male,"586
(541 - 615)","641
(593 - 672)","3,595
(3,277 - 3,811)","272
(241 - 294)","5,096
(4,653 - 5,393)","21.4
(19.8 - 22.5)","23.4
(21.6 - 24.5)","131.0
(119.4 - 138.9)","9.9
(8.8 - 10.7)","46.4
(42.5 - 49.0)",,
         Finland,Female,"505
(420 - 563)","474
(387 - 525)","3,616
(2,935 - 3,977)","256
(204 - 291)","4,853
(3,948 - 5,357)","18.1
(15.0 - 20.1)","16.9
(13.8 - 18.7)","129.1
(104.8 - 141.9)","9.2
(7.3 - 10.4)","43.3
(35.2 - 47.6)",,
         Finland,Both Sex,"1,092
(961 - 1,172)","1,115
(987 - 1,189)","7,211
(6,215 - 7,796)","529
(446 - 583)","9,949
(8,610 - 10,741)","19.7
(17.4 - 21.2)","20.1
(17.8 - 21.4)","130.0
(112.1 - 140.6)","9.5
(8.0 - 10.5)","44.9
(38.8 - 48.3)",,
         France,Male,"37,495
(34,209 - 39,451)","36,588
(33,494 - 38,448)","21,461
(19,222 - 22,690)","7,697
(6,701 - 8,258)","103,243
(93,627 - 108,849)","112.8
(102.9 - 118.7)","109.3
(100.1 - 114.9)","63.7
(57.0 - 67.3)","22.7
(19.8 - 24.4)","77.1
(70.0 - 81.2)",,
         France,Female,"37,504
(30,720 - 41,194)","34,240
(27,973 - 37,756)","24,917
(19,898 - 27,679)","8,431
(6,558 - 9,475)","105,094
(85,150 - 116,105)","106.2
(87.0 - 116.7)","96.2
(78.6 - 106.1)","69.4
(55.4 - 77.1)","23.4
(18.2 - 26.3)","73.8
(59.9 - 81.3)",,
         France,Both Sex,"75,000
(64,927 - 80,234)","70,829
(61,470 - 75,785)","46,379
(39,129 - 50,162)","16,128
(13,262 - 17,661)","208,338
(178,788 - 223,842)","109.4
(94.7 - 117.1)","102.6
(89.0 - 109.7)","66.6
(56.2 - 72.1)","23.1
(19.0 - 25.3)","75.4
(64.8 - 81.0)",,
         Germany,Male,"22,659
(20,625 - 23,732)","44,275
(40,977 - 46,165)","41,002
(37,389 - 43,010)","2,366
(2,072 - 2,557)","110,303
(101,065 - 115,467)","55.1
(50.1 - 57.7)","107.5
(99.5 - 112.1)","99.2
(90.5 - 104.1)","5.7
(5.0 - 6.1)","66.9
(61.2 - 69.9)",,
         Germany,Female,"19,949
(15,933 - 22,111)","34,109
(27,893 - 37,446)","44,030
(35,420 - 48,640)","2,395
(1,821 - 2,741)","100,484
(81,069 - 110,939)","47.3
(37.8 - 52.4)","80.6
(65.9 - 88.5)","103.7
(83.4 - 114.5)","5.6
(4.3 - 6.4)","59.3
(47.8 - 65.5)",,
         Germany,Both Sex,"42,608
(36,645 - 45,810)","78,384
(68,725 - 83,513)","85,032
(72,770 - 91,260)","4,762
(3,890 - 5,235)","210,788
(182,031 - 225,819)","51.1
(44.0 - 55.0)","93.9
(82.3 - 100.0)","101.5
(86.8 - 108.9)","5.6
(4.6 - 6.2)","63.0
(54.4 - 67.5)",,
         Greece,Male,"3,395
(3,169 - 3,555)","10,354
(9,754 - 10,718)","8,155
(7,536 - 8,520)","494
(444 - 529)","22,400
(20,904 - 23,324)","64.4
(60.1 - 67.5)","196.8
(185.4 - 203.7)","155.4
(143.6 - 162.4)","9.5
(8.5 - 10.1)","106.5
(99.3 - 110.6)",,
         Greece,Female,"2,517
(2,186 - 2,731)","7,547
(6,588 - 8,111)","6,786
(5,857 - 7,329)","385
(324 - 429)","17,235
(14,957 - 18,602)","45.8
(39.8 - 49.7)","137.7
(120.3 - 148.0)","124.2
(107.2 - 134.1)","7.1
(6.0 - 7.9)","78.7
(68.3 - 84.6)",,
         Greece,Both Sex,"5,913
(5,399 - 6,270)","17,901
(16,346 - 18,799)","14,941
(13,383 - 15,819)","880
(769 - 950)","39,636
(35,899 - 41,840)","54.9
(50.1 - 58.2)","166.7
(152.2 - 175.0)","139.5
(124.9 - 147.7)","8.2
(7.2 - 8.9)","92.3
(83.6 - 97.2)",,
         Iceland,Male,"58
(51 - 65)","55
(49 - 61)","56
(49 - 64)","8
(6 - 9)","179
(156 - 201)","31.5
(27.7 - 35.4)","29.2
(25.9 - 32.5)","29.3
(25.4 - 33.1)","4.1
(3.5 - 4.8)","23.5
(21.0 - 26.1)",,
         Iceland,Female,"58
(48 - 68)","56
(47 - 64)","68
(55 - 79)","7
(6 - 8)","190
(157 - 221)","33.0
(27.2 - 38.4)","31.2
(26.5 - 36.0)","37.2
(30.1 - 43.5)","4.1
(3.3 - 4.7)","26.4
(22.1 - 30.1)",,
         Iceland,Both Sex,"117
(102 - 133)","111
(97 - 125)","125
(104 - 140)","15
(13 - 18)","369
(317 - 417)","32.2
(28.1 - 36.7)","30.1
(26.4 - 33.9)","33.1
(27.7 - 37.4)","4.1
(3.4 - 4.7)","24.9
(21.6 - 27.7)",,
         Ireland,Male,"1,191
(1,104 - 1,253)","1,841
(1,709 - 1,928)","1,174
(1,063 - 1,261)","177
(155 - 197)","4,385
(4,033 - 4,642)","47.0
(43.6 - 49.5)","71.7
(66.6 - 75.1)","45.1
(40.9 - 48.5)","6.8
(5.9 - 7.5)","42.7
(39.2 - 44.7)",,
         Ireland,Female,"1,272
(1,073 - 1,386)","1,997
(1,702 - 2,171)","1,475
(1,215 - 1,641)","214
(172 - 247)","4,960
(4,163 - 5,447)","49.2
(41.5 - 53.6)","76.2
(64.9 - 82.9)","55.5
(45.8 - 61.8)","8.0
(6.4 - 9.2)","47.2
(39.5 - 51.7)",,
         Ireland,Both Sex,"2,464
(2,181 - 2,632)","3,839
(3,417 - 4,086)","2,649
(2,282 - 2,879)","392
(327 - 435)","9,345
(8,208 - 10,032)","48.1
(42.6 - 51.4)","74.0
(65.9 - 78.8)","50.4
(43.4 - 54.8)","7.4
(6.1 - 8.2)","45.0
(39.4 - 48.0)",,
         Israel,Male,"2,158
(1,996 - 2,271)","2,961
(2,740 - 3,107)","2,194
(1,989 - 2,328)","423
(373 - 459)","7,738
(7,100 - 8,166)","45.5
(42.1 - 47.9)","61.4
(56.8 - 64.5)","44.7
(40.5 - 47.5)","8.5
(7.5 - 9.2)","40.0
(36.8 - 42.0)",,
         Israel,Female,"1,453
(1,231 - 1,593)","2,099
(1,784 - 2,292)","1,665
(1,364 - 1,850)","304
(244 - 347)","5,523
(4,624 - 6,083)","30.4
(25.8 - 33.4)","43.3
(36.8 - 47.2)","33.8
(27.7 - 37.5)","6.1
(4.9 - 7.0)","28.4
(23.6 - 31.2)",,
         Israel,Both Sex,"3,612
(3,233 - 3,854)","5,061
(4,521 - 5,380)","3,860
(3,355 - 4,148)","727
(617 - 803)","13,261
(11,728 - 14,185)","37.9
(34.0 - 40.5)","52.3
(46.7 - 55.6)","39.3
(34.1 - 42.2)","7.3
(6.2 - 8.0)","34.2
(30.3 - 36.4)",,
         Italy,Male,"50,723
(46,564 - 53,067)","39,837
(36,424 - 41,792)","25,774
(23,121 - 27,184)","8,766
(7,733 - 9,421)","125,102
(113,844 - 131,465)","174.7
(160.4 - 182.8)","137.8
(126.0 - 144.6)","89.4
(80.2 - 94.3)","30.5
(26.9 - 32.7)","108.1
(98.5 - 113.5)",,
         Italy,Female,"46,911
(37,081 - 52,568)","34,655
(27,647 - 38,772)","27,861
(21,568 - 31,515)","9,222
(7,000 - 10,658)","118,651
(93,297 - 133,514)","153.6
(121.4 - 172.1)","114.2
(91.1 - 127.7)","92.1
(71.3 - 104.2)","30.6
(23.2 - 35.4)","97.6
(76.8 - 109.9)",,
         Italy,Both Sex,"97,635
(83,742 - 105,339)","74,492
(64,223 - 80,434)","53,636
(44,674 - 58,831)","17,989
(14,758 - 20,017)","243,754
(207,399 - 264,622)","163.9
(140.6 - 176.8)","125.7
(108.4 - 135.7)","90.8
(75.6 - 99.6)","30.5
(25.1 - 34.0)","102.7
(87.5 - 111.6)",,
         Luxembourg,Male,"274
(256 - 292)","271
(251 - 288)","165
(149 - 180)","38
(33 - 42)","750
(690 - 804)","87.4
(81.5 - 93.2)","85.0
(78.7 - 90.3)","50.9
(46.1 - 55.4)","11.5
(10.0 - 12.9)","58.7
(54.5 - 62.1)",,
         Luxembourg,Female,"236
(203 - 256)","227
(198 - 247)","144
(122 - 160)","35
(29 - 40)","643
(554 - 705)","76.1
(65.4 - 82.5)","72.2
(62.9 - 78.6)","45.0
(38.4 - 50.0)","10.9
(9.2 - 12.5)","51.0
(44.3 - 55.3)",,
         Luxembourg,Both Sex,"511
(456 - 546)","499
(452 - 531)","309
(278 - 335)","73
(64 - 83)","1,393
(1,250 - 1,496)","81.8
(73.1 - 87.4)","78.7
(71.3 - 83.8)","47.9
(43.0 - 52.0)","11.2
(9.7 - 12.6)","54.9
(49.9 - 58.5)",,
         Malta,Male,"196
(179 - 213)","188
(173 - 203)","199
(178 - 219)","39
(35 - 44)","625
(566 - 680)","73.0
(66.9 - 79.3)","68.2
(62.6 - 73.4)","70.1
(62.6 - 76.9)","13.6
(12.0 - 15.3)","56.3
(51.6 - 60.3)",,
         Malta,Female,"128
(108 - 144)","107
(88 - 120)","120
(100 - 140)","24
(19 - 29)","381
(317 - 434)","51.1
(43.2 - 57.4)","42.2
(34.8 - 47.3)","46.5
(38.7 - 53.9)","9.4
(7.5 - 11.1)","37.3
(31.2 - 41.9)",,
         Malta,Both Sex,"324
(289 - 357)","296
(261 - 322)","320
(279 - 353)","64
(55 - 73)","1,006
(886 - 1,108)","62.5
(55.7 - 68.8)","55.8
(49.2 - 60.7)","58.8
(51.4 - 65.0)","11.6
(9.9 - 13.2)","47.2
(41.8 - 51.1)",,
         Monaco,Male,"31
(25 - 41)","42
(33 - 55)","27
(20 - 35)","8
(6 - 12)","109
(85 - 144)","166.6
(133.5 - 220.0)","223.4
(177.1 - 291.2)","143.4
(107.5 - 185.7)","47.1
(35.8 - 65.2)","145.1
(115.0 - 187.9)",,
         Monaco,Female,"29
(21 - 39)","40
(28 - 53)","30
(21 - 43)","10
(6 - 16)","111
(78 - 152)","150.3
(111.1 - 201.5)","204.0
(146.5 - 272.7)","157.1
(107.0 - 218.3)","53.8
(34.4 - 80.8)","141.3
(102.6 - 193.6)",,
         Monaco,Both Sex,"60
(48 - 74)","82
(64 - 100)","58
(43 - 71)","19
(14 - 26)","221
(170 - 273)","158.3
(126.1 - 193.9)","213.5
(166.5 - 260.9)","150.4
(112.0 - 185.6)","50.5
(37.0 - 67.3)","143.2
(111.1 - 173.0)",,
         Netherlands,Male,"11,319
(10,382 - 11,870)","11,616
(10,701 - 12,164)","5,200
(4,727 - 5,497)","1,820
(1,598 - 1,946)","29,956
(27,410 - 31,479)","131.0
(120.2 - 137.4)","133.6
(123.1 - 139.9)","59.4
(54.0 - 62.7)","20.6
(18.1 - 22.0)","86.2
(78.9 - 90.4)",,
         Netherlands,Female,"9,939
(8,240 - 10,805)","9,463
(7,905 - 10,278)","4,648
(3,843 - 5,091)","1,762
(1,400 - 1,977)","25,813
(21,389 - 28,152)","113.7
(94.2 - 123.6)","107.6
(89.8 - 116.8)","52.4
(43.3 - 57.4)","19.7
(15.7 - 22.1)","73.3
(60.7 - 79.9)",,
         Netherlands,Both Sex,"21,258
(18,627 - 22,639)","21,079
(18,614 - 22,420)","9,848
(8,578 - 10,563)","3,583
(2,998 - 3,919)","55,770
(48,817 - 59,542)","122.3
(107.2 - 130.2)","120.5
(106.4 - 128.2)","55.9
(48.7 - 59.9)","20.1
(16.9 - 22.0)","79.7
(69.8 - 85.0)",,
         Norway,Male,"507
(464 - 541)","839
(764 - 889)","2,348
(2,125 - 2,480)","116
(102 - 125)","3,811
(3,456 - 4,037)","18.8
(17.2 - 20.0)","30.8
(28.1 - 32.7)","85.7
(77.5 - 90.5)","4.2
(3.7 - 4.6)","34.9
(31.8 - 36.7)",,
         Norway,Female,"612
(509 - 672)","840
(704 - 922)","2,045
(1,697 - 2,251)","132
(105 - 148)","3,630
(3,017 - 3,995)","23.0
(19.2 - 25.3)","31.4
(26.3 - 34.5)","75.9
(63.0 - 83.5)","4.9
(3.9 - 5.5)","33.8
(28.0 - 37.2)",,
         Norway,Both Sex,"1,119
(973 - 1,211)","1,680
(1,469 - 1,801)","4,393
(3,827 - 4,690)","248
(208 - 273)","7,442
(6,478 - 7,977)","20.9
(18.1 - 22.6)","31.1
(27.2 - 33.4)","80.8
(70.4 - 86.3)","4.5
(3.8 - 5.0)","34.3
(29.8 - 36.6)",,
         Portugal,Male,"5,171
(4,754 - 5,409)","7,773
(7,221 - 8,151)","3,540
(3,196 - 3,746)","652
(573 - 704)","17,137
(15,746 - 18,011)","101.8
(93.6 - 106.5)","153.7
(142.8 - 161.2)","70.3
(63.4 - 74.3)","13.0
(11.4 - 14.0)","84.7
(78.2 - 88.7)",,
         Portugal,Female,"5,916
(4,939 - 6,461)","8,722
(7,492 - 9,475)","4,432
(3,628 - 4,891)","815
(646 - 915)","19,887
(16,707 - 21,744)","106.0
(88.5 - 115.8)","157.0
(134.9 - 170.6)","80.0
(65.5 - 88.3)","14.8
(11.7 - 16.6)","89.5
(75.6 - 97.9)",,
         Portugal,Both Sex,"11,088
(9,703 - 11,852)","16,495
(14,765 - 17,572)","7,973
(6,850 - 8,620)","1,467
(1,222 - 1,617)","37,025
(32,542 - 39,663)","104.0
(91.0 - 111.2)","155.4
(139.1 - 165.6)","75.4
(64.8 - 81.5)","13.9
(11.6 - 15.3)","87.2
(76.9 - 93.3)",,
         San Marino,Male,"47
(40 - 53)","37
(31 - 43)","46
(37 - 55)","13
(10 - 16)","144
(120 - 169)","277.0
(241.4 - 316.5)","220.0
(181.7 - 255.2)","270.3
(220.8 - 322.9)","79.3
(61.5 - 95.4)","211.7
(180.4 - 237.8)",,
         San Marino,Female,"49
(40 - 57)","33
(25 - 41)","43
(34 - 53)","13
(9 - 17)","139
(109 - 169)","277.2
(227.6 - 322.5)","185.6
(144.6 - 229.9)","244.8
(191.4 - 301.5)","73.3
(52.6 - 96.8)","195.2
(158.3 - 230.9)",,
         San Marino,Both Sex,"96
(83 - 108)","70
(57 - 81)","90
(75 - 103)","26
(20 - 32)","284
(237 - 326)","277.1
(239.3 - 312.3)","202.4
(165.2 - 233.1)","257.3
(215.4 - 295.4)","76.2
(58.8 - 93.1)","203.3
(173.1 - 229.7)",,
         Spain,Male,"39,824
(37,020 - 41,463)","23,970
(22,199 - 25,007)","15,689
(14,115 - 16,494)","5,066
(4,491 - 5,401)","84,550
(77,826 - 88,367)","172.1
(160.0 - 179.2)","103.3
(95.7 - 107.8)","67.4
(60.6 - 70.9)","21.7
(19.2 - 23.1)","91.1
(84.0 - 95.2)",,
         Spain,Female,"38,014
(30,880 - 42,045)","19,356
(15,638 - 21,558)","17,427
(13,701 - 19,536)","5,513
(4,234 - 6,281)","80,312
(64,454 - 89,421)","157.9
(128.3 - 174.7)","80.3
(64.8 - 89.4)","72.0
(56.6 - 80.7)","22.7
(17.4 - 25.8)","83.2
(66.6 - 92.4)",,
         Spain,Both Sex,"77,839
(67,961 - 83,540)","43,327
(37,845 - 46,511)","33,116
(27,832 - 35,890)","10,580
(8,676 - 11,606)","164,863
(142,315 - 177,549)","164.9
(143.9 - 176.9)","91.6
(80.0 - 98.3)","69.8
(58.6 - 75.6)","22.2
(18.2 - 24.3)","87.1
(75.2 - 93.8)",,
         Sweden,Male,"5,296
(4,846 - 5,555)","3,306
(3,015 - 3,467)","2,340
(2,100 - 2,487)","452
(395 - 488)","11,396
(10,358 - 11,999)","101.4
(92.8 - 106.4)","62.8
(57.3 - 65.9)","44.1
(39.6 - 46.9)","8.5
(7.4 - 9.1)","54.2
(49.4 - 56.9)",,
         Sweden,Female,"4,560
(3,726 - 4,966)","2,402
(1,987 - 2,638)","1,816
(1,501 - 2,023)","430
(335 - 485)","9,209
(7,551 - 10,113)","88.4
(72.3 - 96.3)","46.3
(38.3 - 50.8)","34.8
(28.7 - 38.7)","8.2
(6.4 - 9.2)","44.4
(36.5 - 48.7)",,
         Sweden,Both Sex,"9,856
(8,606 - 10,476)","5,708
(5,027 - 6,079)","4,157
(3,593 - 4,458)","882
(734 - 969)","20,606
(17,961 - 21,983)","95.0
(82.9 - 100.9)","54.6
(48.1 - 58.2)","39.5
(34.1 - 42.3)","8.3
(6.9 - 9.1)","49.3
(43.0 - 52.6)",,
         Switzerland,Male,"5,244
(4,841 - 5,487)","3,435
(3,139 - 3,594)","1,255
(1,120 - 1,339)","703
(617 - 762)","10,639
(9,719 - 11,184)","120.4
(111.1 - 125.9)","78.2
(71.5 - 81.9)","28.3
(25.3 - 30.2)","15.7
(13.8 - 17.1)","60.7
(55.4 - 63.5)",,
         Switzerland,Female,"4,683
(3,761 - 5,189)","3,039
(2,414 - 3,378)","1,281
(978 - 1,436)","711
(546 - 824)","9,715
(7,701 - 10,828)","106.3
(85.4 - 117.8)","68.5
(54.4 - 76.1)","28.6
(21.8 - 32.0)","15.7
(12.1 - 18.2)","54.8
(43.4 - 60.9)",,
         Switzerland,Both Sex,"9,927
(8,610 - 10,676)","6,475
(5,546 - 6,966)","2,536
(2,104 - 2,760)","1,415
(1,156 - 1,585)","20,355
(17,418 - 21,988)","113.3
(98.3 - 121.9)","73.3
(62.8 - 78.9)","28.5
(23.6 - 31.0)","15.7
(12.9 - 17.6)","57.7
(49.4 - 62.1)",,
         United Kingdom,Male,"44,866
(41,984 - 46,426)","40,217
(37,613 - 41,649)","15,554
(14,248 - 16,276)","3,920
(2,912 - 5,233)","104,558
(96,758 - 109,586)","134.4
(125.7 - 139.0)","119.9
(112.2 - 124.2)","46.2
(42.3 - 48.3)","11.6
(8.6 - 15.5)","78.0
(72.5 - 81.0)",,
         United Kingdom,Female,"37,126
(32,044 - 39,842)","33,951
(29,452 - 36,375)","13,578
(11,496 - 14,697)","3,173
(2,229 - 4,271)","87,830
(75,222 - 95,186)","106.9
(92.3 - 114.7)","97.3
(84.4 - 104.2)","38.7
(32.7 - 41.8)","9.0
(6.3 - 12.1)","63.0
(54.1 - 67.6)",,
         United Kingdom,Both Sex,"81,993
(74,084 - 86,038)","74,168
(67,076 - 77,802)","29,133
(25,778 - 30,896)","7,093
(5,192 - 9,451)","192,388
(172,131 - 204,188)","120.4
(108.8 - 126.3)","108.4
(98.0 - 113.7)","42.3
(37.5 - 44.9)","10.3
(7.5 - 13.7)","70.3
(63.1 - 74.1)",,
   Latin America and Caribbean,Male,"570,664
(558,485 - 579,581)","783,048
(766,600 - 793,969)","152,362
(145,318 - 156,448)","22,843
(21,808 - 23,751)","1,528,918
(1,492,212 - 1,553,750)","199.7
(195.4 - 202.8)","273.1
(267.3 - 276.9)","52.9
(50.5 - 54.3)","7.9
(7.5 - 8.2)","133.4
(130.3 - 135.6)",,
   Latin America and Caribbean,Female,"338,788
(320,617 - 348,399)","550,317
(523,782 - 565,056)","123,838
(112,313 - 130,363)","16,971
(15,434 - 17,986)","1,029,915
(972,147 - 1,061,806)","113.7
(107.6 - 117.0)","183.7
(174.9 - 188.6)","41.1
(37.3 - 43.3)","5.6
(5.1 - 5.9)","86.0
(81.2 - 88.6)",,
   Latin America and Caribbean,Both Sex,"909,453
(879,210 - 926,911)","1,333,365
(1,292,324 - 1,358,420)","276,200
(257,432 - 286,444)","39,814
(37,396 - 41,591)","2,558,833
(2,466,362 - 2,613,367)","155.8
(150.6 - 158.8)","227.4
(220.4 - 231.7)","46.9
(43.7 - 48.6)","6.7
(6.3 - 7.0)","109.2
(105.3 - 111.5)",,
      Andean Latin America,Male,"148,239
(144,633 - 152,369)","139,503
(136,348 - 143,350)","23,648
(22,622 - 24,809)","9,199
(8,683 - 9,744)","320,591
(312,287 - 330,274)","464.5
(453.2 - 477.4)","433.5
(423.7 - 445.5)","72.8
(69.6 - 76.4)","28.1
(26.5 - 29.7)","249.7
(243.7 - 256.9)",,
      Andean Latin America,Female,"76,917
(73,923 - 79,801)","84,348
(81,174 - 87,377)","15,946
(14,905 - 16,801)","5,907
(5,457 - 6,325)","183,119
(175,460 - 190,305)","239.4
(230.0 - 248.3)","259.5
(249.7 - 268.8)","48.5
(45.3 - 51.1)","17.8
(16.4 - 19.1)","141.3
(135.5 - 146.2)",,
      Andean Latin America,Both Sex,"225,156
(219,931 - 231,301)","223,851
(218,429 - 229,837)","39,594
(37,733 - 41,325)","15,107
(14,273 - 15,884)","503,710
(490,368 - 518,350)","351.5
(343.4 - 361.1)","346.0
(337.7 - 355.3)","60.6
(57.7 - 63.2)","22.9
(21.6 - 24.1)","195.3
(190.3 - 200.8)",,
         Bolivia (Plurinational State of),Male,"33,215
(30,565 - 35,804)","28,386
(26,304 - 30,475)","5,511
(4,980 - 6,088)","2,260
(2,018 - 2,549)","69,373
(63,867 - 74,918)","570.5
(525.0 - 615.0)","483.9
(448.4 - 519.5)","93.0
(84.0 - 102.7)","37.7
(33.6 - 42.5)","296.3
(272.8 - 319.4)",,
         Bolivia (Plurinational State of),Female,"17,246
(15,923 - 18,804)","16,261
(15,034 - 17,697)","3,535
(3,139 - 3,974)","1,342
(1,175 - 1,529)","38,386
(35,273 - 42,005)","294.1
(271.6 - 320.7)","274.4
(253.7 - 298.6)","59.0
(52.4 - 66.3)","22.1
(19.4 - 25.2)","162.4
(149.2 - 177.7)",,
         Bolivia (Plurinational State of),Both Sex,"50,461
(47,486 - 53,148)","44,647
(42,146 - 46,961)","9,046
(8,343 - 9,699)","3,603
(3,273 - 3,931)","107,759
(101,248 - 113,740)","431.8
(406.3 - 454.8)","378.6
(357.4 - 398.2)","75.9
(70.0 - 81.4)","29.9
(27.1 - 32.6)","229.0
(215.5 - 241.4)",,
