"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
         Tajikistan,Male,"3,187
(2,546 - 3,963)","4,848
(3,808 - 6,078)","1,030
(758 - 1,339)","251
(180 - 332)","9,317
(7,293 - 11,714)","62.7
(50.1 - 77.9)","93.2
(73.2 - 116.8)","19.4
(14.3 - 25.2)","4.6
(3.3 - 6.1)","45.0
(35.7 - 56.1)",,
         Tajikistan,Female,"1,847
(1,472 - 2,300)","3,428
(2,717 - 4,398)","665
(513 - 869)","150
(114 - 205)","6,092
(4,818 - 7,774)","37.5
(29.9 - 46.6)","68.0
(53.9 - 87.3)","12.9
(10.0 - 16.9)","2.9
(2.2 - 3.9)","30.3
(24.4 - 38.3)",,
         Tajikistan,Both Sex,"5,035
(3,988 - 6,139)","8,276
(6,691 - 10,102)","1,696
(1,306 - 2,155)","402
(311 - 510)","15,410
(12,298 - 18,907)","50.3
(39.8 - 61.3)","80.8
(65.3 - 98.6)","16.2
(12.5 - 20.6)","3.8
(2.9 - 4.8)","37.8
(30.7 - 46.5)",,
         Turkmenistan,Male,"1,879
(1,483 - 2,309)","2,608
(2,053 - 3,215)","494
(375 - 633)","117
(90 - 147)","5,099
(4,003 - 6,306)","67.7
(53.5 - 83.2)","92.9
(73.1 - 114.5)","17.4
(13.2 - 22.3)","4.1
(3.1 - 5.1)","45.5
(36.2 - 55.6)",,
         Turkmenistan,Female,"1,272
(986 - 1,582)","2,159
(1,673 - 2,673)","394
(300 - 514)","90
(68 - 116)","3,918
(3,028 - 4,886)","48.2
(37.4 - 60.0)","80.9
(62.7 - 100.2)","14.6
(11.1 - 19.1)","3.3
(2.5 - 4.3)","36.8
(28.7 - 45.5)",,
         Turkmenistan,Both Sex,"3,152
(2,504 - 3,880)","4,767
(3,840 - 5,816)","889
(691 - 1,130)","207
(162 - 259)","9,017
(7,198 - 11,087)","58.2
(46.3 - 71.7)","87.0
(70.1 - 106.2)","16.0
(12.5 - 20.4)","3.7
(2.9 - 4.6)","41.3
(33.1 - 50.5)",,
         Uzbekistan,Male,"4,063
(3,910 - 4,225)","3,578
(3,463 - 3,721)","1,072
(1,014 - 1,133)","320
(298 - 343)","9,034
(8,686 - 9,424)","24.2
(23.3 - 25.2)","21.0
(20.3 - 21.8)","6.2
(5.8 - 6.5)","1.8
(1.7 - 1.9)","13.3
(12.9 - 13.8)",,
         Uzbekistan,Female,"3,132
(2,981 - 3,246)","3,320
(3,136 - 3,462)","939
(866 - 1,006)","264
(240 - 287)","7,656
(7,224 - 8,003)","18.6
(17.7 - 19.3)","19.4
(18.3 - 20.2)","5.4
(5.0 - 5.8)","1.5
(1.4 - 1.6)","11.2
(10.7 - 11.6)",,
         Uzbekistan,Both Sex,"7,195
(6,930 - 7,420)","6,899
(6,649 - 7,106)","2,011
(1,899 - 2,119)","584
(541 - 627)","16,690
(16,021 - 17,275)","21.4
(20.6 - 22.1)","20.2
(19.4 - 20.8)","5.8
(5.5 - 6.1)","1.7
(1.5 - 1.8)","12.3
(11.8 - 12.6)",,
      Central Europe,Male,"108,373
(104,762 - 110,599)","216,802
(210,652 - 220,843)","59,024
(56,368 - 60,637)","11,240
(10,642 - 11,696)","395,442
(382,426 - 403,776)","189.3
(183.0 - 193.2)","380.8
(370.0 - 387.9)","104.4
(99.7 - 107.3)","19.9
(18.8 - 20.7)","173.6
(167.7 - 177.1)",,
      Central Europe,Female,"80,343
(73,884 - 83,764)","191,778
(178,752 - 199,428)","53,930
(49,139 - 57,203)","10,986
(9,761 - 11,799)","337,038
(311,538 - 352,197)","133.5
(122.8 - 139.2)","320.6
(298.8 - 333.4)","90.7
(82.6 - 96.2)","18.5
(16.4 - 19.8)","140.8
(130.2 - 146.9)",,
      Central Europe,Both Sex,"188,717
(179,070 - 194,163)","408,580
(389,679 - 420,050)","112,954
(105,319 - 117,192)","22,227
(20,484 - 23,401)","732,480
(694,554 - 754,806)","160.7
(152.5 - 165.3)","349.9
(333.7 - 359.8)","97.4
(90.8 - 101.0)","19.2
(17.7 - 20.2)","156.8
(148.6 - 161.5)",,
