"Appendix Table S12. Global, top 100 causes by age-standardised death rate per 100,000 - 1990, 2019, 2021, 2023, and the percent change between years",,,,,,,,
Cause Name,1990,2019,1990-2019,2021,2019-2021,2023,2021-2023,1990-2023
Other digestive diseases,2.11 (1.62-2.74),1.57 (1.34-1.81),-25.77%,1.5 (1.3-1.73),-4.32%,1.52 (1.3-1.76),1.0%,-28.26%
Kidney cancer,2.05 (1.89-2.21),1.9 (1.71-2.06),-7.35%,1.86 (1.67-2.04),-2.28%,1.84 (1.63-2.0),-1.27%,-10.62%
Larynx cancer,2.02 (1.78-2.3),1.36 (1.16-1.64),-32.48%,1.44 (1.23-1.75),5.5%,1.42 (1.22-1.7),-1.41%,-29.77%
Animal contact,2.01 (1.19-3.13),1.25 (0.79-1.77),-37.97%,1.31 (0.81-1.94),5.0%,1.24 (0.74-1.8),-4.97%,-38.1%
Gallbladder and biliary diseases,1.95 (1.58-2.31),1.66 (1.4-1.99),-14.74%,1.66 (1.41-2.0),0.28%,1.67 (1.39-1.95),0.62%,-13.97%
Foreign body,1.94 (1.46-2.37),1.47 (1.13-1.81),-24.48%,1.48 (1.12-1.84),1.04%,1.53 (1.14-1.91),2.97%,-21.43%
"Endocrine, metabolic, blood, and immune disorders",1.89 (1.63-2.19),2.22 (1.94-2.48),17.13%,2.33 (2.03-2.64),5.02%,2.41 (2.08-2.74),3.66%,27.51%
Conflict and terrorism,1.77 (1.66-1.92),1.28 (1.17-1.41),-27.95%,1.2 (1.07-1.38),-6.12%,1.99 (1.58-2.61),65.94%,12.24%
Pancreatitis,1.76 (1.49-2.16),1.47 (1.27-1.71),-16.26%,1.4 (1.22-1.62),-4.78%,1.4 (1.21-1.66),0.16%,-20.14%
Vascular intestinal disorders,1.68 (1.54-1.85),1.14 (1.02-1.26),-32.05%,1.07 (0.96-1.17),-6.91%,1.05 (0.93-1.16),-1.77%,-37.86%
Poisonings,1.54 (1.23-1.97),0.89 (0.68-1.16),-42.14%,0.89 (0.68-1.22),-0.47%,0.84 (0.65-1.12),-4.99%,-45.29%
Uterine cancer,1.52 (1.29-1.71),1.16 (1.01-1.34),-23.46%,1.17 (1.02-1.34),0.75%,1.19 (1.02-1.38),1.74%,-21.55%
Encephalitis,1.51 (0.96-2.21),0.94 (0.68-1.35),-37.99%,1.01 (0.7-1.49),7.33%,0.95 (0.67-1.44),-5.12%,-36.86%
