Appendix Table S11. All cause probability of death before age 70 by location and sex,,,,,,,,
Location Name,Sex,1990,2000,2010,2019,2023,"Percent Change from 2000 to 2023, 0 to 70",
         Seychelles,Both,38.8%,36.7%,33.1%,27.4%,29.0%,-20.9%,
         Sri Lanka,Both,38.3%,34.5%,28.8%,22.9%,25.9%,-24.9%,
         Thailand,Both,34.2%,36.0%,28.4%,25.7%,26.0%,-27.7%,
         Timor-Leste,Both,53.5%,45.2%,38.6%,37.6%,36.9%,-18.3%,
         Viet Nam,Both,38.2%,33.1%,31.3%,29.2%,28.5%,-14.0%,
   Sub-Saharan Africa,Both,61.7%,64.1%,55.3%,48.6%,47.4%,-26.0%,
      Central Sub-Saharan Africa,Both,63.4%,63.7%,57.6%,52.8%,52.0%,-18.2%,
         Angola,Both,65.9%,60.8%,53.7%,48.4%,47.9%,-21.3%,
         Central African Republic,Both,70.4%,78.9%,69.5%,65.1%,63.2%,-19.8%,
         Congo,Both,61.4%,62.9%,52.8%,51.2%,51.1%,-18.7%,
         Democratic Republic of the Congo,Both,62.5%,63.3%,58.3%,53.4%,52.7%,-16.8%,
         Equatorial Guinea,Both,69.9%,63.5%,57.2%,53.7%,56.0%,-11.8%,
         Gabon,Both,50.6%,53.2%,48.2%,47.0%,45.4%,-14.7%,
      Eastern Sub-Saharan Africa,Both,65.2%,66.4%,54.1%,47.1%,46.1%,-30.7%,
         Burundi,Both,66.5%,71.9%,54.5%,50.0%,50.2%,-30.2%,
         Comoros,Both,40.3%,35.4%,29.0%,27.5%,26.6%,-25.0%,
         Djibouti,Both,49.9%,48.4%,46.1%,41.9%,41.0%,-15.4%,
         Eritrea,Both,71.4%,58.7%,52.5%,49.1%,48.6%,-17.3%,
         Ethiopia,Both,71.4%,67.5%,52.7%,47.0%,46.8%,-30.7%,
         Kenya,Both,49.4%,60.4%,48.6%,41.2%,39.0%,-35.4%,
         Madagascar,Both,63.4%,57.2%,52.1%,49.6%,49.6%,-13.3%,
         Malawi,Both,71.8%,79.4%,61.6%,54.8%,55.1%,-30.6%,
         Mozambique,Both,57.2%,59.6%,54.3%,50.4%,47.0%,-21.2%,
         Rwanda,Both,71.4%,71.7%,50.6%,47.1%,48.0%,-33.1%,
         Somalia,Both,58.1%,55.7%,62.0%,43.7%,42.7%,-23.2%,
         South Sudan,Both,65.8%,64.0%,60.7%,59.7%,59.7%,-6.7%,
         Uganda,Both,72.0%,72.1%,55.7%,46.2%,45.2%,-37.3%,
         United Republic of Tanzania,Both,58.5%,63.6%,52.3%,42.0%,39.7%,-37.6%,
         Zambia,Both,69.6%,83.1%,65.3%,58.1%,55.9%,-32.8%,
      Southern Sub-Saharan Africa,Both,44.1%,65.2%,62.0%,49.2%,47.9%,-26.5%,
         Botswana,Both,45.6%,78.1%,46.4%,41.4%,40.6%,-48.0%,
         Eswatini,Both,64.0%,75.4%,77.1%,59.7%,57.9%,-23.2%,
         Lesotho,Both,56.8%,78.4%,69.7%,65.7%,63.5%,-19.1%,
         Namibia,Both,55.0%,65.9%,52.9%,48.1%,46.2%,-29.9%,
         South Africa,Both,41.8%,59.1%,61.9%,48.4%,47.5%,-19.5%,
         Zimbabwe,Both,47.0%,81.5%,62.9%,49.5%,45.9%,-43.6%,
      Western Sub-Saharan Africa,Both,61.6%,61.1%,53.3%,48.2%,46.7%,-23.5%,
         Benin,Both,58.0%,54.7%,48.4%,45.3%,43.2%,-21.0%,
         Burkina Faso,Both,63.2%,59.8%,46.4%,40.1%,39.8%,-33.4%,
         Cabo Verde,Both,32.7%,29.8%,26.5%,26.6%,25.8%,-13.6%,
         Cameroon,Both,60.9%,67.3%,62.1%,54.7%,52.6%,-21.8%,
         Chad,Both,67.9%,67.1%,61.5%,58.0%,57.0%,-15.1%,
         Côte d'Ivoire,Both,59.3%,66.4%,54.1%,48.0%,46.9%,-29.4%,
         Ghana,Both,60.4%,58.0%,52.7%,50.1%,48.6%,-16.2%,
         Guinea,Both,65.3%,60.9%,54.8%,51.3%,49.7%,-18.4%,
         Guinea-Bissau,Both,63.4%,61.6%,58.7%,55.5%,53.9%,-12.5%,
         Liberia,Both,67.3%,62.4%,56.0%,52.3%,51.5%,-17.5%,
         Mali,Both,63.7%,58.8%,49.9%,47.8%,46.7%,-20.6%,
         Mauritania,Both,52.1%,47.9%,45.1%,42.0%,41.9%,-12.4%,
         Niger,Both,70.1%,65.4%,56.9%,53.5%,51.9%,-20.6%,
         Nigeria,Both,61.0%,60.9%,52.6%,46.4%,44.8%,-26.4%,
         Sao Tome and Principe,Both,45.1%,45.8%,44.4%,39.4%,37.9%,-17.2%,
         Senegal,Both,53.1%,47.2%,41.2%,37.5%,37.1%,-21.4%,
         Sierra Leone,Both,68.5%,66.8%,61.2%,56.9%,55.5%,-17.0%,
         Gambia,Both,49.0%,47.2%,43.6%,43.0%,42.1%,-10.7%,
         Togo,Both,58.3%,60.0%,54.8%,48.9%,47.4%,-21.1%,
* United Nations convention recognizes Taiwan as a province of China,,,,,,,,
