Appendix Table S11. All cause probability of death before age 70 by location and sex,,,,,,,,
Location Name,Sex,1990,2000,2010,2019,2023,"Percent Change from 2000 to 2023, 0 to 70",
         Saint Vincent and the Grenadines,Male,39.2%,39.7%,35.6%,38.9%,35.5%,-10.5%,
         Suriname,Male,42.3%,43.2%,40.6%,38.9%,37.4%,-13.5%,
         Bahamas,Male,46.9%,45.7%,41.5%,42.9%,39.6%,-13.4%,
         Trinidad and Tobago,Male,46.7%,45.3%,37.5%,37.0%,38.2%,-15.7%,
         United States Virgin Islands,Male,39.6%,36.9%,34.4%,33.1%,34.6%,-6.3%,
      Central Latin America,Male,40.7%,35.7%,32.6%,32.4%,31.7%,-11.4%,
         Colombia,Male,39.8%,35.8%,27.5%,24.3%,24.0%,-32.9%,
         Costa Rica,Male,29.1%,27.8%,24.2%,23.2%,24.6%,-11.4%,
         El Salvador,Male,47.6%,43.6%,40.4%,44.1%,42.2%,-3.4%,
         Guatemala,Male,53.7%,45.3%,39.5%,36.7%,35.9%,-20.7%,
         Honduras,Male,38.1%,34.6%,30.5%,28.5%,26.2%,-24.4%,
         Mexico,Male,40.4%,34.6%,33.3%,33.7%,32.9%,-5.1%,
         Nicaragua,Male,37.7%,34.1%,34.4%,36.3%,31.4%,-8.1%,
         Panama,Male,29.0%,26.9%,27.0%,26.5%,24.7%,-7.9%,
         Venezuela (Bolivarian Republic of),Male,40.2%,38.0%,36.0%,38.3%,39.3%,3.5%,
      Tropical Latin America,Male,44.7%,41.0%,36.4%,33.0%,32.9%,-19.8%,
         Brazil,Male,45.1%,41.1%,36.4%,32.9%,32.7%,-20.5%,
         Paraguay,Male,30.7%,34.0%,36.6%,38.0%,39.0%,14.6%,
   North Africa and Middle East,Male,48.0%,41.4%,36.0%,32.9%,31.9%,-22.9%,
      North Africa and Middle East,Male,48.0%,41.4%,36.0%,32.9%,31.9%,-22.9%,
         Afghanistan,Male,54.1%,50.9%,44.1%,43.4%,37.8%,-25.7%,
         Algeria,Male,38.9%,32.9%,28.8%,27.4%,27.3%,-17.0%,
         Bahrain,Male,41.5%,39.6%,26.2%,20.1%,21.7%,-45.1%,
         Egypt,Male,52.5%,45.2%,45.1%,41.2%,41.7%,-7.8%,
         Iran (Islamic Republic of),Male,44.3%,33.7%,27.3%,24.2%,22.3%,-33.9%,
         Iraq,Male,50.6%,49.4%,47.4%,42.3%,42.2%,-14.6%,
         Jordan,Male,43.2%,39.1%,31.5%,26.4%,24.8%,-36.6%,
         Kuwait,Male,36.8%,27.4%,21.5%,17.4%,14.3%,-47.9%,
         Lebanon,Male,33.5%,22.7%,22.5%,30.2%,27.1%,19.4%,
         Libya,Male,40.5%,35.2%,32.3%,32.4%,34.5%,-1.8%,
         Morocco,Male,44.4%,39.4%,34.0%,32.0%,30.9%,-21.8%,
         Oman,Male,48.4%,40.6%,37.0%,27.6%,25.5%,-37.0%,
         Palestine,Male,39.9%,35.7%,32.4%,27.5%,50.2%,40.6%,
         Qatar,Male,33.8%,28.6%,18.9%,12.8%,13.1%,-54.3%,
         Saudi Arabia,Male,43.2%,33.6%,36.7%,28.6%,27.5%,-18.1%,
         Sudan,Male,62.4%,56.2%,47.5%,40.7%,41.7%,-25.8%,
         Syrian Arab Republic,Male,44.7%,39.7%,32.1%,33.7%,29.2%,-26.5%,
         Tunisia,Male,40.0%,36.5%,32.9%,29.3%,29.8%,-18.3%,
         Türkiye,Male,46.8%,39.7%,28.5%,27.6%,27.9%,-29.9%,
         United Arab Emirates,Male,41.5%,37.0%,22.0%,11.2%,10.9%,-70.4%,
         Yemen,Male,59.9%,50.9%,43.0%,44.1%,37.8%,-25.8%,
   South Asia,Male,57.4%,51.7%,46.4%,39.5%,38.4%,-25.8%,
      South Asia,Male,57.4%,51.7%,46.4%,39.5%,38.4%,-25.8%,
         Bangladesh,Male,56.0%,47.5%,42.6%,37.7%,36.3%,-23.5%,
         Bhutan,Male,51.4%,46.1%,37.6%,32.8%,32.3%,-30.0%,
         India,Male,58.5%,52.5%,47.0%,39.5%,38.5%,-26.6%,
         Nepal,Male,54.2%,47.9%,39.6%,34.2%,33.5%,-29.9%,
         Pakistan,Male,48.9%,47.8%,44.5%,39.5%,38.1%,-20.4%,
"   Southeast Asia, East Asia, and Oceania",Male,49.9%,42.9%,34.3%,28.5%,28.6%,-33.2%,
      East Asia,Male,49.0%,41.1%,30.2%,23.2%,23.1%,-43.8%,
         China,Male,49.3%,41.1%,30.1%,23.0%,22.8%,-44.5%,
         Democratic People's Republic of Korea,Male,43.9%,45.5%,39.8%,37.2%,36.6%,-19.6%,
         Taiwan*,Male,35.0%,32.0%,26.8%,24.1%,25.1%,-21.4%,
      Oceania,Male,57.5%,54.7%,52.3%,49.4%,49.6%,-9.3%,
         American Samoa,Male,48.9%,49.6%,45.3%,43.8%,44.9%,-9.5%,
         Cook Islands,Male,48.0%,45.1%,43.5%,42.5%,43.7%,-2.9%,
         Micronesia (Federated States of),Male,73.2%,69.5%,63.8%,59.6%,58.2%,-16.3%,
         Fiji,Male,54.4%,54.8%,53.6%,50.9%,51.6%,-5.8%,
         Guam,Male,36.8%,32.8%,33.3%,36.2%,37.7%,14.9%,
         Kiribati,Male,53.4%,50.9%,47.4%,43.9%,43.5%,-14.4%,
         Marshall Islands,Male,69.3%,67.7%,65.3%,62.1%,61.9%,-8.6%,
         Nauru,Male,74.5%,76.5%,75.7%,72.4%,73.3%,-4.3%,
         Niue,Male,47.0%,45.0%,41.9%,40.3%,40.4%,-10.3%,
         Northern Mariana Islands,Male,49.7%,47.7%,44.7%,41.9%,42.3%,-11.4%,
         Palau,Male,52.0%,49.9%,47.4%,44.0%,43.9%,-12.0%,
         Papua New Guinea,Male,57.5%,54.2%,51.6%,48.0%,48.0%,-11.4%,
         Samoa,Male,43.1%,43.3%,41.7%,41.6%,42.0%,-3.0%,
         Solomon Islands,Male,73.9%,69.9%,67.1%,68.0%,68.5%,-1.9%,
         Tokelau,Male,36.3%,34.0%,31.2%,28.9%,28.9%,-15.0%,
         Tonga,Male,43.1%,42.4%,40.5%,38.8%,40.0%,-5.6%,
         Tuvalu,Male,68.7%,71.6%,63.9%,63.4%,65.2%,-9.0%,
         Vanuatu,Male,57.4%,55.0%,51.3%,49.7%,49.3%,-10.3%,
      Southeast Asia,Male,52.0%,47.6%,44.6%,40.9%,40.4%,-15.2%,
         Cambodia,Male,58.1%,52.8%,43.2%,37.0%,36.9%,-30.0%,
         Indonesia,Male,52.6%,46.4%,46.7%,42.2%,41.6%,-10.3%,
