IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,COG,Congo,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,2031,,,,,,2031.135565,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,CHN,China,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,55-59 years,AGEGROUP_AGE55-59,,,,,,,2033,,,,,,2033.029267,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,85+ years,AGEGROUP_AGE85PLUS,,,,,,,20423,,,,,,20423.47205,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,45-49 years,AGEGROUP_AGE45-49,,,,,,,2044,,,,,,2044.181938,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,205.1,,,,,,205.1425917,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,206.9,,,,,,206.8627104,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EUR,Europe,Country,ITA,Italy,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,207.2,,,,,,207.1874962,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,DZA,Algeria,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,<1 year,AGEGROUP_AGELT1,,,,,,,2075,,,,,,2075.383026,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,208.1,,,,,,208.0926465,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,AFR,Africa,Country,DZA,Algeria,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,210.9,,,,,,210.8592857,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000032,ndx - number of people dying between ages x and x+n,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,55-59 years,AGEGROUP_AGE55-59,,,,,,,2112,,,,,,2111.935159,,,EN,2020-12-05T18:30:00.000Z
